AMPID,TITLE,LATITUDE,LONGITUDE,TYPE,DESCRIPTION
AECD114,GestiÃ_n de Patrimonio Cultural para el Desarrollo local de los Municipios de la Mancomunidad de COLOSUCA [Fase II],14.41614,-88.60126,MULTISECTOR / CORTE CRUZADO,
AECD114,GestiÃ_n de Patrimonio Cultural para el Desarrollo local de los Municipios de la Mancomunidad de COLOSUCA [Fase II],14.4,-88.73333,MULTISECTOR / CORTE CRUZADO,
AECD108,Programa de Fortalecimiento de la GestiÃ_n Urbana de los Centros HistÃ_ricos [FASE IV],14.5,-88.5,MULTISECTOR / CORTE CRUZADO,
AECD108,Programa de Fortalecimiento de la GestiÃ_n Urbana de los Centros HistÃ_ricos [FASE IV],14.58333,-87.25,MULTISECTOR / CORTE CRUZADO,
AECD108,Programa de Fortalecimiento de la GestiÃ_n Urbana de los Centros HistÃ_ricos [FASE IV],14.45,-87.63333,MULTISECTOR / CORTE CRUZADO,
AECD108,Programa de Fortalecimiento de la GestiÃ_n Urbana de los Centros HistÃ_ricos [FASE IV],14.09,-86.37,MULTISECTOR / CORTE CRUZADO,
AECD108,Programa de Fortalecimiento de la GestiÃ_n Urbana de los Centros HistÃ_ricos [FASE IV],14.58333,-88.58333,MULTISECTOR / CORTE CRUZADO,
AECD108,Programa de Fortalecimiento de la GestiÃ_n Urbana de los Centros HistÃ_ricos [FASE IV],13.95,-87.33333,MULTISECTOR / CORTE CRUZADO,
AECD108,Programa de Fortalecimiento de la GestiÃ_n Urbana de los Centros HistÃ_ricos [FASE IV],14.26667,-87,MULTISECTOR / CORTE CRUZADO,
AECD108,Programa de Fortalecimiento de la GestiÃ_n Urbana de los Centros HistÃ_ricos [FASE IV],14.1,-87.1,MULTISECTOR / CORTE CRUZADO,
AECD108,Programa de Fortalecimiento de la GestiÃ_n Urbana de los Centros HistÃ_ricos [FASE IV],14.76667,-88.78333,MULTISECTOR / CORTE CRUZADO,
AECD108,Programa de Fortalecimiento de la GestiÃ_n Urbana de los Centros HistÃ_ricos [FASE IV],14.15,-87.03333,MULTISECTOR / CORTE CRUZADO,
AECD108,Programa de Fortalecimiento de la GestiÃ_n Urbana de los Centros HistÃ_ricos [FASE IV],13.95,-86.83333,MULTISECTOR / CORTE CRUZADO,
871711610687,"Asistencia TÃ©cnica, Fortalecimiento de Capacidades para el AnÃ¡lisis y Alinemiento de la CooperaciÃ_n para el Desarrollo, Seguimiento y EvaluaciÃ_n de Programas y Proyectos.",15,-86.5,GOBIERNO Y SOCIEDAD CIVIL,
AECD080,ConstrucciÃ_n del Plan Maestro (Director) del Ancatarillado Sanitario en Santa Rosa de CopÃ¡n,14.76667,-88.77917,AGUA Y SANEAMIENTO,
AECD082,Incremento de la Cobertura de Agua y Saneamiento y GestiÃ_n [Comayagua],14.4,-87.73333,AGUA Y SANEAMIENTO,
AECD082,Incremento de la Cobertura de Agua y Saneamiento y GestiÃ_n [Comayagua],14.38333,-87.7,AGUA Y SANEAMIENTO,
AECD082,Incremento de la Cobertura de Agua y Saneamiento y GestiÃ_n [Comayagua],14.45,-87.63333,AGUA Y SANEAMIENTO,
AECD082,Incremento de la Cobertura de Agua y Saneamiento y GestiÃ_n [Comayagua],14.36667,-87.5,AGUA Y SANEAMIENTO,
AECD082,Incremento de la Cobertura de Agua y Saneamiento y GestiÃ_n [Comayagua],14.45,-87.71667,AGUA Y SANEAMIENTO,
AECD082,Incremento de la Cobertura de Agua y Saneamiento y GestiÃ_n [Comayagua],14.41667,-87.66667,AGUA Y SANEAMIENTO,
AECD082,Incremento de la Cobertura de Agua y Saneamiento y GestiÃ_n [Comayagua],14.36667,-87.7,AGUA Y SANEAMIENTO,
AECD082,Incremento de la Cobertura de Agua y Saneamiento y GestiÃ_n [Comayagua],14.36,-87.69,AGUA Y SANEAMIENTO,
AECD082,Incremento de la Cobertura de Agua y Saneamiento y GestiÃ_n [Comayagua],14.41667,-87.68333,AGUA Y SANEAMIENTO,
AECD081,Incremento de la Cobertura de Agua y Saneamiento y GestiÃ_n integrada de la cuenca baja y media del RÃ_o GoascorÃ¡n.,13.95,-87.66667,AGUA Y SANEAMIENTO,
AECD081,Incremento de la Cobertura de Agua y Saneamiento y GestiÃ_n integrada de la cuenca baja y media del RÃ_o GoascorÃ¡n.,13.5,-87.68333,AGUA Y SANEAMIENTO,
AECD081,Incremento de la Cobertura de Agua y Saneamiento y GestiÃ_n integrada de la cuenca baja y media del RÃ_o GoascorÃ¡n.,13.71667,-87.68333,AGUA Y SANEAMIENTO,
AECD081,Incremento de la Cobertura de Agua y Saneamiento y GestiÃ_n integrada de la cuenca baja y media del RÃ_o GoascorÃ¡n.,13.78333,-87.65,AGUA Y SANEAMIENTO,
AECD081,Incremento de la Cobertura de Agua y Saneamiento y GestiÃ_n integrada de la cuenca baja y media del RÃ_o GoascorÃ¡n.,13.44622,-87.81372,AGUA Y SANEAMIENTO,
AECD081,Incremento de la Cobertura de Agua y Saneamiento y GestiÃ_n integrada de la cuenca baja y media del RÃ_o GoascorÃ¡n.,14.1,-87.83333,AGUA Y SANEAMIENTO,
AECD081,Incremento de la Cobertura de Agua y Saneamiento y GestiÃ_n integrada de la cuenca baja y media del RÃ_o GoascorÃ¡n.,13.61667,-87.63333,AGUA Y SANEAMIENTO,
AECD081,Incremento de la Cobertura de Agua y Saneamiento y GestiÃ_n integrada de la cuenca baja y media del RÃ_o GoascorÃ¡n.,13.85,-87.65,AGUA Y SANEAMIENTO,
AECD081,Incremento de la Cobertura de Agua y Saneamiento y GestiÃ_n integrada de la cuenca baja y media del RÃ_o GoascorÃ¡n.,13.9,-87.78333,AGUA Y SANEAMIENTO,
AECD081,Incremento de la Cobertura de Agua y Saneamiento y GestiÃ_n integrada de la cuenca baja y media del RÃ_o GoascorÃ¡n.,13.65,-87.53333,AGUA Y SANEAMIENTO,
AECD079,Mejora de la gestiÃ_n PÃºblica y Acceso al Agua potable y Saneamiento en la Ciudad de Gracias [Departamento de Lempira],14.58333,-88.58333,AGUA Y SANEAMIENTO,
87171352730,Mejoramiento Infraestructura Social BÃ¡sica en el Territorio COLOSUCA [2011],14.5,-88.48333,MULTISECTOR / CORTE CRUZADO,
87171352730,Mejoramiento Infraestructura Social BÃ¡sica en el Territorio COLOSUCA [2011],14.45,-88.66667,MULTISECTOR / CORTE CRUZADO,
87171352718,Procesos de ParticipaciÃ_n Ciudadana en la Toma de Decisiones y Reformas Legales,15,-86.5,GOBIERNO Y SOCIEDAD CIVIL,
87171125021,ModernizaciÃ_n y Fortalecimiento Institucional del Congreso Nacional de la RepÃºblica de Honduras [Fase II],15,-86.5,GOBIERNO Y SOCIEDAD CIVIL,
87171352724,Mejora de los Servicios de Acceso a la Justicia y Sistemas de InformaciÃ_n Estadistica,14.08333,-87.16667,GOBIERNO Y SOCIEDAD CIVIL,
87171125017,Seguridad Humana Local,14.0818,-87.20681,GOBIERNO Y SOCIEDAD CIVIL,
87171352728,Promoviendo Bienestar en la Colonia Elder Romero de Santa Rosa de CopÃ¡n [PROMUEVE 2011],14.76667,-88.78333,MULTISECTOR / CORTE CRUZADO,
87171352729,Mejoramiento de la Cobertura de agua en la MontaÃ±a Puca [PUCA 2011],14.81667,-88.4,MULTISECTOR / CORTE CRUZADO,
87171352729,Mejoramiento de la Cobertura de agua en la MontaÃ±a Puca [PUCA 2011],14.78333,-88.58333,MULTISECTOR / CORTE CRUZADO,
87171352729,Mejoramiento de la Cobertura de agua en la MontaÃ±a Puca [PUCA 2011],13.73333,-88.41667,MULTISECTOR / CORTE CRUZADO,
87171352731,Desarrollo Integral en las Zonas Marginales del Municipio de La Ceiba,15.75971,-86.78221,MULTISECTOR / CORTE CRUZADO,
87171352733,Desarrollo Integral en Zonas Urbano Marginales del Municipio de Trujillo [2011],15.916,-85.95935,MULTISECTOR / CORTE CRUZADO,
