AMPID,TITLE,LATITUD,LONGITUD,TYPE,DESCRIPTION
87171352837,Actividades vinculadas al proceso de desarrollo econ•À_mico local en materia,14.36,-87.69,MULTISECTOR / CORTE CRUZADO,
87171352837,Actividades vinculadas al proceso de desarrollo econ•À_mico local en materia,14.81667,-87.8,MULTISECTOR / CORTE CRUZADO,
87171352837,Actividades vinculadas al proceso de desarrollo econ•À_mico local en materia,14.79878,-87.34835,MULTISECTOR / CORTE CRUZADO,
87171352837,Actividades vinculadas al proceso de desarrollo econ•À_mico local en materia,14.61667,-87.6,MULTISECTOR / CORTE CRUZADO,
87171352837,Actividades vinculadas al proceso de desarrollo econ•À_mico local en materia,14.71667,-88,MULTISECTOR / CORTE CRUZADO,
87171352837,Actividades vinculadas al proceso de desarrollo econ•À_mico local en materia,14.75,-87.41667,MULTISECTOR / CORTE CRUZADO,
87171352837,Actividades vinculadas al proceso de desarrollo econ•À_mico local en materia,14.23333,-87.63333,MULTISECTOR / CORTE CRUZADO,
87171352837,Actividades vinculadas al proceso de desarrollo econ•À_mico local en materia,14.61667,-87.83333,MULTISECTOR / CORTE CRUZADO,
87171352837,Actividades vinculadas al proceso de desarrollo econ•À_mico local en materia,14.67145,-87.98693,MULTISECTOR / CORTE CRUZADO,
87171352837,Actividades vinculadas al proceso de desarrollo econ•À_mico local en materia,14.33333,-87.51667,MULTISECTOR / CORTE CRUZADO,
87171407700,Acuerdo Tecnico de Cooperacion para el manejo de Programas de Migracion Laboral Temporal en el extranjero,15,-86.5,OTRA INFRAESTRUCTURA Y SERVICIOS SOCIALES,
87171125253,Ampliaci•À_n del Proyecto de Rehabilitaci•À_n y Mejoramiento de la Carretera Puerto Cort_s - Frontera con Guatemala [CA-13],15.58333,-88.36667,TRANSPORTE Y ALMACENAJE,
87171125253,Ampliaci•À_n del Proyecto de Rehabilitaci•À_n y Mejoramiento de la Carretera Puerto Cort_s - Frontera con Guatemala [CA-13],15.66667,-88.2,TRANSPORTE Y ALMACENAJE,
87171125253,Ampliaci•À_n del Proyecto de Rehabilitaci•À_n y Mejoramiento de la Carretera Puerto Cort_s - Frontera con Guatemala [CA-13],15.65,-88.2,TRANSPORTE Y ALMACENAJE,
87171125253,Ampliaci•À_n del Proyecto de Rehabilitaci•À_n y Mejoramiento de la Carretera Puerto Cort_s - Frontera con Guatemala [CA-13],15.21,-87.95,TRANSPORTE Y ALMACENAJE,
87171125253,Ampliaci•À_n del Proyecto de Rehabilitaci•À_n y Mejoramiento de la Carretera Puerto Cort_s - Frontera con Guatemala [CA-13],15.79,-87.849,TRANSPORTE Y ALMACENAJE,
8717110010873,Ampliaci•À_n L•À_nea Perif_rica 22 para Abastecer la Colonia Villanueva,14.06072,-87.16119,AGUA Y SANEAMIENTO,
87171363926,Ampliaci•À_n y Mejoramiento de la Carretera CA-5 Segmento I,14.45,-87.63333,TRANSPORTE Y ALMACENAJE,
87171363926,Ampliaci•À_n y Mejoramiento de la Carretera CA-5 Segmento I,14.45139,-87.6375,TRANSPORTE Y ALMACENAJE,
87171363926,Ampliaci•À_n y Mejoramiento de la Carretera CA-5 Segmento I,14.13333,-87.21667,TRANSPORTE Y ALMACENAJE,
87171363926,Ampliaci•À_n y Mejoramiento de la Carretera CA-5 Segmento I,14.5,-87.7,TRANSPORTE Y ALMACENAJE,
87171363926,Ampliaci•À_n y Mejoramiento de la Carretera CA-5 Segmento I,14.31869,-87.61427,TRANSPORTE Y ALMACENAJE,
87171363926,Ampliaci•À_n y Mejoramiento de la Carretera CA-5 Segmento I,14.38098,-87.61494,TRANSPORTE Y ALMACENAJE,
87171363926,Ampliaci•À_n y Mejoramiento de la Carretera CA-5 Segmento I,14.61667,-87.83333,TRANSPORTE Y ALMACENAJE,
87171363926,Ampliaci•À_n y Mejoramiento de la Carretera CA-5 Segmento I,14.6,-87.83333,TRANSPORTE Y ALMACENAJE,
87171363926,Ampliaci•À_n y Mejoramiento de la Carretera CA-5 Segmento I,14.67145,-87.98693,TRANSPORTE Y ALMACENAJE,
87171363926,Ampliaci•À_n y Mejoramiento de la Carretera CA-5 Segmento I,14.7,-87.96667,TRANSPORTE Y ALMACENAJE,
87171363926,Ampliaci•À_n y Mejoramiento de la Carretera CA-5 Segmento I,14.0818,-87.20681,TRANSPORTE Y ALMACENAJE,
87171363926,Ampliaci•À_n y Mejoramiento de la Carretera CA-5 Segmento I,14.33333,-87.51667,TRANSPORTE Y ALMACENAJE,
87171125218,Ampliaci•À_n y Mejoramiento de la Carretera CA-5 Segmento I y II (Secci•À_n 2A),14.33333,-87.68333,TRANSPORTE Y ALMACENAJE,
